Cohort ID	Likelihood Weights	Mortality Prob
0	5.964591168639154e-06	0.1334044009405148
1	1.0196360519788435e-11	0.19406489868843163
2	3.989567670858145e-27	0.05002287496346898
3	0.00515061137165135	0.11046651452636796
4	0.00013219059839708023	0.07935117816342262
5	1.8962487438204302e-11	0.06846771895375957
6	0.0019950322410877274	0.08725204227553418
7	0.0004432675228029986	0.11911214540860955
8	2.9862311334744524e-05	0.129353494846134
9	1.555081976286182e-07	0.1577633468006714
10	9.130438358161023e-06	0.13383890288065897
11	5.114841127802659e-12	0.1870439000793519
12	0.005703869418270589	0.09089044994630349
13	1.4082566228351235e-14	0.2256234872781891
14	2.5278789102334937e-26	0.055477518639585235
15	1.3716755988333148e-12	0.18409350203568048
16	4.5661715278718486e-05	0.1334609604734254
17	1.1160483280155006e-08	0.16173796568915033
18	2.7954446273225407e-07	0.07807738771904676
19	0.0032450440986564267	0.08962029781697577
20	4.993503462498017e-13	0.21014891373510736
21	4.2498951854295055e-17	0.24365231514387953
22	0.0022635324992093414	0.11268483563184857
23	2.186785864031536e-12	0.1884645231338628
24	9.178016971420045e-15	0.22527783045920768
25	1.448211691327472e-15	0.22892133270076948
26	1.346198529766364e-11	0.0670088422739556
27	3.544018352288367e-17	0.05781095664657648
28	0.0011062771912451887	0.08396608391291378
29	4.390306170671538e-15	0.22562850068588264
30	8.46311529235395e-09	0.06966936676661002
31	5.660972006705471e-05	0.13422152500101042
32	5.5461372158271137e-17	0.24157790603010038
33	6.897584098040082e-08	0.15663305699460342
34	3.750616148642394e-12	0.18837542279009467
35	0.002365570478818613	0.1131031262012126
36	7.734486548351787e-11	0.18730018553631672
37	1.0020695695647937e-14	0.21692513437947458
38	1.478786548098862e-35	0.05365765546883836
39	2.206012365432336e-12	0.20002886298899353
40	6.43472907625664e-17	0.24777221778129893
41	2.2596795915972798e-14	0.1996331308759679
42	0.004049054246816961	0.10608879841288105
43	1.1046251617346814e-14	0.20785586569029774
44	2.1147771548249486e-07	0.07064520131552841
45	3.848485153293403e-06	0.13957870523518104
46	1.3091472853867778e-15	0.2317191006186191
47	0.006262169932538332	0.1087228296747359
48	0.0014609228944461048	0.10755506771726975
49	4.161611019103986e-06	0.07600571442365554
50	1.9196925035154517e-32	0.05387339157405942
51	6.025878478186368e-11	0.18576710658797818
52	0.009171800929491119	0.09232562320001181
53	0.009735708937594071	0.10310933187444525
54	3.1714014706009556e-07	0.14831463185606766
55	1.50781693076921e-15	0.06067250902341608
56	9.171664679718851e-10	0.16482352109840262
57	0.0010072442902185588	0.07934571498116204
58	6.864894110857632e-09	0.16786110738065685
59	4.816264389902877e-12	0.18995167200418622
60	1.2890989634612327e-08	0.07046688576556517
61	3.461743280977311e-05	0.13281119756391369
62	1.222499541143683e-12	0.18888003154554905
63	4.5860336889895136e-05	0.13283585390538055
64	7.644949083435304e-16	0.05999069178921743
65	7.99010933415647e-08	0.15717928118310232
66	4.427444398418925e-11	0.1827589290439578
67	1.443555779529428e-07	0.15297782241166172
68	4.873510898166727e-16	0.2389189511981627
